userId,cardId,rating
1,455,1
1,235,3
1,155,1
1,349,4
1,64,4
1,18,1
1,178,2
1,263,4
1,337,2
1,200,3
1,129,3
1,416,3
1,322,1
1,425,4
1,29,4
1,112,2
1,157,4
1,341,3
1,140,3
1,373,1
1,291,4
1,168,4
1,432,3
1,370,4
1,146,2
1,238,1
1,451,4
1,51,4
1,327,1
1,442,4
1,128,2
1,46,3
1,55,2
1,225,1
1,352,2
1,278,1
1,217,3
1,500,1
1,92,1
1,313,2
1,389,3
1,259,2
1,388,2
1,486,1
1,91,2
1,10,1
1,45,2
1,188,1
1,266,4
1,134,4
1,3,3
1,413,4
1,404,2
1,102,2
1,99,3
1,68,4
1,123,3
1,400,4
1,41,3
1,423,1
1,138,1
1,353,2
1,216,2
1,498,2
1,34,3
1,418,2
1,201,1
1,331,4
1,430,2
1,401,1
1,439,2
1,6,4
1,334,1
1,289,4
1,319,1
1,257,2
1,76,3
1,199,1
1,285,3
1,156,2
1,448,3
1,25,2
1,165,4
1,466,4
1,7,4
1,409,4
1,4,4
1,367,2
1,326,1
1,450,4
1,208,3
1,215,4
1,464,1
1,265,2
1,50,2
1,467,3
1,374,4
1,108,1
1,226,3
1,13,1
2,455,2
2,235,4
2,155,2
2,349,4
2,64,1
2,18,1
2,178,4
2,263,1
2,337,4
2,200,2
2,129,2
2,416,1
2,322,2
2,425,3
2,29,2
2,112,4
2,157,1
2,341,3
2,140,2
2,373,2
2,291,4
2,168,1
2,432,1
2,370,2
2,146,2
2,238,4
2,451,2
2,51,4
2,327,3
2,442,1
2,128,1
2,46,3
2,55,1
2,225,3
2,352,4
2,278,1
2,217,4
2,500,3
2,92,1
2,313,4
2,389,2
2,259,3
2,388,3
2,486,3
2,91,4
2,10,2
2,45,2
2,188,4
2,266,4
2,134,4
2,3,1
2,413,2
2,404,4
2,102,4
2,99,3
2,68,4
2,123,4
2,400,1
2,41,3
2,423,4
2,138,3
2,353,4
2,216,4
2,498,1
2,34,3
2,418,1
2,201,1
2,331,1
2,430,1
2,401,3
2,439,3
2,6,3
2,334,4
2,289,2
2,319,3
2,257,3
2,76,3
2,199,4
2,285,1
2,156,2
2,448,3
2,25,1
2,165,3
2,466,4
2,7,1
2,409,1
2,4,1
2,367,2
2,326,4
2,450,2
2,208,3
2,215,1
2,464,2
2,265,2
2,50,4
2,467,2
2,374,3
2,108,1
2,226,2
2,13,1
3,455,4
3,235,2
3,155,2
3,349,4
3,64,1
3,18,2
3,178,1
3,263,2
3,337,4
3,200,1
3,129,3
3,416,1
3,322,1
3,425,1
3,29,2
3,112,3
3,157,4
3,341,4
3,140,4
3,373,4
3,291,2
3,168,4
3,432,3
3,370,2
3,146,2
3,238,1
3,451,3
3,51,4
3,327,3
3,442,3
3,128,4
3,46,2
3,55,4
3,225,4
3,352,3
3,278,2
3,217,3
3,500,3
3,92,2
3,313,4
3,389,3
3,259,4
3,388,1
3,486,4
3,91,1
3,10,4
3,45,1
3,188,3
3,266,3
3,134,2
3,3,4
3,413,3
3,404,1
3,102,2
3,99,3
3,68,3
3,123,4
3,400,3
3,41,1
3,423,1
3,138,3
3,353,3
3,216,1
3,498,2
3,34,2
3,418,1
3,201,1
3,331,2
3,430,1
3,401,4
3,439,3
3,6,2
3,334,3
3,289,3
3,319,4
3,257,2
3,76,4
3,199,3
3,285,1
3,156,3
3,448,2
3,25,2
3,165,2
3,466,3
3,7,4
3,409,1
3,4,3
3,367,4
3,326,3
3,450,4
3,208,4
3,215,3
3,464,3
3,265,4
3,50,2
3,467,2
3,374,4
3,108,1
3,226,2
3,13,4
4,455,2
4,235,3
4,155,3
4,349,2
4,64,4
4,18,1
4,178,3
4,263,4
4,337,4
4,200,2
4,129,4
4,416,3
4,322,4
4,425,2
4,29,1
4,112,2
4,157,1
4,341,1
4,140,1
4,373,1
4,291,4
4,168,1
4,432,4
4,370,1
4,146,1
4,238,2
4,451,4
4,51,4
4,327,1
4,442,3
4,128,4
4,46,4
4,55,3
4,225,1
4,352,4
4,278,3
4,217,1
4,500,1
4,92,2
4,313,3
4,389,1
4,259,1
4,388,4
4,486,2
4,91,1
4,10,4
4,45,4
4,188,1
4,266,3
4,134,3
4,3,3
4,413,3
4,404,3
4,102,4
